"Deine Klassenstufe/Lehrer","In welche Shops/Läden würdest du vorzugsweise gehen? ","Was würdest du in einem Fast Food-Restaurant bestellen","Was würdest du beim Bäcker bestellen?","Was würdest du im Kasino vorzugsweise spielen?","Was würdest du dir in einem Fanartikel-Shop kaufen?","Was würdest du dir in einem Sportladen kaufen?","Was ist deine Lieblingsfarbe?","Was würdest du eher in einem Webshop herunterladen?","Timestamp","Zuletzt aktualisiert","Erstellt von","Aktualisiert von","Entwurf","IP-Adresse","ID","Schlüssel"
"5-6","Sportladen","Dinokeule (Chicken Nuggets)","Salamibrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Gelb","MP3 (Einen Song)","2019-05-09 09:57:11","2019-05-09 09:57:11","","","0","","780","nr784"
"5-6","Fast Food-Restaurant","Dinokeule (Chicken Nuggets)","Franzbrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-09 09:57:11","2019-05-09 09:57:11","","","0","","779","xdbh6"
"5-6","Sportladen","Burger","Salamibrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-09 09:56:57","2019-05-09 09:56:57","","","0","","777","jw4t2"
"5-6","Fast Food-Restaurant","Pommes","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","PNG (Ein Bild)","2019-05-09 09:56:58","2019-05-09 09:56:58","","","0","","778","djgi"
"5-6","Sportladen","Currywurst","Schokocroissant","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Rot","MP3 (Einen Song)","2019-05-09 09:56:21","2019-05-09 09:56:21","","","0","","776","rcv64"
"5-6","Fast Food-Restaurant, Supermarkt","Burger","Käsebrötchen","Heißer Draht in Dino-Form","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Rot","MP3 (Einen Song)","2019-05-09 09:56:14","2019-05-09 09:56:14","","","0","","775","1r0i3"
"5-6","Fast Food-Restaurant, Sportladen","Pommes","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Violett","MP3 (Einen Song)","2019-05-09 09:56:01","2019-05-09 09:56:01","","","0","","774","1yoq8"
"7-8","Fast Food-Restaurant","Burger","Schokocroissant","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-09 09:47:52","2019-05-09 09:47:52","","","0","","757","we9as"
"7-8","Bäcker","Pommes","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-09 09:47:59","2019-05-09 09:47:59","","","0","","758","coad1"
"7-8","Sportladen","Dinokeule (Chicken Nuggets)","Franzbrötchen","Heißer Draht in Dino-Form","Pfeife","Trainingskleidung-Set (Laufsachen)","Rot","MP3 (Einen Song)","2019-05-09 09:48:11","2019-05-09 09:48:11","","","0","","759","951hs"
"7-8","Fast Food-Restaurant","Burger","Franzbrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Schwarz","MP3 (Einen Song)","2019-05-09 09:48:20","2019-05-09 09:48:20","","","0","","760","1cnfv"
"7-8","Supermarkt","Pommes","Franzbrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Rot","PNG (Ein Bild)","2019-05-09 09:48:39","2019-05-09 09:48:39","","","0","","761","akkpx"
"7-8","Sportladen","Burger","Käsebrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-09 09:48:43","2019-05-09 09:48:43","","","0","","762","y38lf"
"7-8","Fanartikel-Shop","Fleischklopsbrötchen (Boulette/Frikadelle)","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Schwarz","MP3 (Einen Song)","2019-05-09 09:48:55","2019-05-09 09:48:55","","","0","","763","x0czp"
"7-8","Fast Food-Restaurant, Bäcker, Kasino, Supermarkt","Pommes","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Grün","MP3 (Einen Song)","2019-05-09 09:48:55","2019-05-09 09:48:55","","","0","","764","kawd1"
"7-8","Fanartikel-Shop","Pommes","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Blau","MP3 (Einen Song)","2019-05-09 09:49:44","2019-05-09 09:49:44","","","0","","765","4vx6w"
"7-8","Fast Food-Restaurant, Bäcker, Fanartikel-Shop, Sportladen, Webshop","Burger","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Schwarz","MP3 (Einen Song)","2019-05-09 09:50:12","2019-05-09 09:50:12","","","0","","766","civvr"
"5-6","Supermarkt","Fleischklopsbrötchen (Boulette/Frikadelle)","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Schwarz","MP3 (Einen Song)","2019-05-09 09:54:33","2019-05-09 09:54:33","","","0","","767","r7gs8"
"5-6","Supermarkt","Burger","Franzbrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-09 09:55:05","2019-05-09 09:55:05","","","0","","768","849yj"
"5-6","Sportladen","Dinokeule (Chicken Nuggets)","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-09 09:55:26","2019-05-09 09:55:26","","","0","","769","hx65n"
"5-6","Fast Food-Restaurant, Bäcker, Kasino, Fanartikel-Shop, Sportladen, Supermarkt, Webshop","Burger","Salamibrötchen","Hau-den-Dino","Pfeife","Taucher-Set","Schwarz","MP3 (Einen Song)","2019-05-09 09:55:42","2019-05-09 09:55:42","","","0","","770","hutiq"
"5-6","Sportladen","Pommes","Franzbrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-09 09:55:46","2019-05-09 09:55:46","","","0","","771","kxc0"
"5-6","Supermarkt","Pommes","Schokocroissant","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","PNG (Ein Bild)","2019-05-09 09:55:47","2019-05-09 09:55:47","","","0","","772","jpaja"
"5-6","Supermarkt","Currywurst","Käsebrötchen","Heißer Draht in Dino-Form","Pfeife","Taucher-Set","Gelb","PNG (Ein Bild)","2019-05-09 09:55:56","2019-05-09 09:55:56","","","0","","773","3sjcy"
"7-8","Fanartikel-Shop, Sportladen","Pommes","Käsebrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Gelb","MP3 (Einen Song)","2019-05-09 09:47:43","2019-05-09 09:47:43","","","0","","756","dp1vv"
"7-8","Bäcker, Sportladen","Veganer Salat","Salamibrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-09 09:47:07","2019-05-09 09:47:07","","","0","","755","xwa6s"
"7-8","Webshop","Fleischklopsbrötchen (Boulette/Frikadelle)","Käsebrötchen","Hau-den-Dino","Pfeife","Taucher-Set","Gelb","MP3 (Einen Song)","2019-05-09 09:47:02","2019-05-09 09:47:02","","","0","","754","7zz9h"
"7-8","Fast Food-Restaurant","Pommes","Käsebrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Schwarz","MP3 (Einen Song)","2019-05-09 09:46:59","2019-05-09 09:46:59","","","0","","752","f8yri"
"7-8","Fast Food-Restaurant, Bäcker, Fanartikel-Shop, Sportladen, Supermarkt","Pommes","Franzbrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-09 09:47:00","2019-05-09 09:47:00","","","0","","753","2rx4z"
"Lehrer","Bäcker, Sportladen, Supermarkt","Pommes","Franzbrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Violett","MP3 (Einen Song)","2019-05-09 09:46:57","2019-05-09 09:46:57","","","0","","751","sq9d3"
"7-8","Fast Food-Restaurant, Sportladen","Burger","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Schwarz","MP3 (Einen Song)","2019-05-09 09:46:56","2019-05-09 09:46:56","","","0","","750","31uce"
"7-8","Fast Food-Restaurant, Supermarkt","Currywurst","Schokocroissant","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-09 09:46:40","2019-05-09 09:46:40","","","0","","748","7153x"
"7-8","Fast Food-Restaurant","Pommes","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Violett","MP3 (Einen Song)","2019-05-09 09:46:49","2019-05-09 09:46:49","","","0","","749","8p8t3"
"7-8","Sportladen, Webshop","Veganer Salat","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Schwarz","MP3 (Einen Song)","2019-05-09 09:46:21","2019-05-09 09:46:21","","","0","","747","dgrhz"
"7-8","Fanartikel-Shop","Burger","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Schwarz","MP3 (Einen Song)","2019-05-09 09:46:16","2019-05-09 09:46:16","","","0","","746","ilt69"
"7-8","Fast Food-Restaurant, Bäcker, Fanartikel-Shop, Sportladen, Webshop","Burger","Käsebrötchen","Heißer Draht in Dino-Form","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Rot","MP3 (Einen Song)","2019-05-09 09:46:01","2019-05-09 09:46:01","","","0","","745","go5w0"
"5-6","Fanartikel-Shop, Sportladen","Pommes","Schokocroissant","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-09 09:39:27","2019-05-09 09:39:27","","","0","","744","fmu7g"
"5-6","Sportladen","Burger","Schokocroissant","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Grün","MP3 (Einen Song)","2019-05-09 09:39:13","2019-05-09 09:39:13","","","0","","743","1fszf"
"5-6","Sportladen, Supermarkt, Webshop","Veganer Salat","Schokocroissant","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Rot","MP3 (Einen Song)","2019-05-09 09:38:57","2019-05-09 09:38:57","","","0","","742","3k6vl"
"5-6","Sportladen","Pommes","Franzbrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Rot","MP3 (Einen Song)","2019-05-09 09:38:54","2019-05-09 09:38:54","","","0","","741","fl7g7"
"5-6","Sportladen","Pommes","Schokocroissant","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Rot","MP3 (Einen Song)","2019-05-09 09:38:38","2019-05-09 09:38:38","","","0","","740","hqa6m"
"5-6","Fast Food-Restaurant, Bäcker, Sportladen, Supermarkt","Burger","Schokocroissant","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Grün","MP3 (Einen Song)","2019-05-09 09:38:15","2019-05-09 09:38:15","","","0","","739","adgp6"
"5-6","Fast Food-Restaurant, Bäcker, Fanartikel-Shop, Sportladen, Supermarkt","Burger","Schokocroissant","Heißer Draht in Dino-Form","Pfeife","Trainingskleidung-Set (Laufsachen)","Rot","MP3 (Einen Song)","2019-05-09 09:37:03","2019-05-09 09:37:03","","","0","","728","2adlv"
"5-6","Fast Food-Restaurant, Fanartikel-Shop, Supermarkt, Webshop","Burger","Schokocroissant","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-09 09:37:15","2019-05-09 09:37:15","","","0","","729","62rn2"
"5-6","Sportladen","Burger","Schokocroissant","Heißer Draht in Dino-Form","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-09 09:37:24","2019-05-09 09:37:24","","","0","","730","uyvbt"
"5-6","Sportladen","Pommes","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Grün","MP3 (Einen Song)","2019-05-09 09:37:27","2019-05-09 09:37:27","","","0","","731","hxez1"
"5-6","Sportladen","Pommes","Franzbrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Violett","PNG (Ein Bild)","2019-05-09 09:37:28","2019-05-09 09:37:28","","","0","","732","314ht"
"5-6","Bäcker","Burger","Franzbrötchen","Heißer Draht in Dino-Form","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-09 09:37:33","2019-05-09 09:37:33","","","0","","733","n2et5"
"5-6","Sportladen","Pommes","Schokocroissant","Hau-den-Dino","Pfeife","Taucher-Set","Violett","MP3 (Einen Song)","2019-05-09 09:37:46","2019-05-09 09:37:46","","","0","","734","iqic5"
"5-6","Sportladen","Pommes","Käsebrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-09 09:37:55","2019-05-09 09:37:55","","","0","","735","biuoc"
"5-6","Fanartikel-Shop, Sportladen","Burger","Salamibrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-09 09:37:57","2019-05-09 09:37:57","","","0","","736","uxnj5"
"5-6","Fast Food-Restaurant, Sportladen, Webshop","Veganer Salat","Schokocroissant","Hau-den-Dino","Pfeife","Taucher-Set","Rot","MP3 (Einen Song)","2019-05-09 09:37:58","2019-05-09 09:37:58","","","0","","737","wf31"
"5-6","Supermarkt","Dinokeule (Chicken Nuggets)","Salamibrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Schwarz","PNG (Ein Bild)","2019-05-09 09:38:06","2019-05-09 09:38:06","","","0","","738","h30v3"
"5-6","Kasino","Currywurst","Käsebrötchen","Hau-den-Dino","Pfeife","Taucher-Set","Grün","MP3 (Einen Song)","2019-05-10 09:15:21","2019-05-10 09:15:21","","","0","","978","23gnr"
"5-6","Bäcker","Burger","Schokocroissant","Heißer Draht in Dino-Form","Dinochips (Einkaufswagen)","Taucher-Set","Blau","MP3 (Einen Song)","2019-05-10 09:15:12","2019-05-10 09:15:12","","","0","","977","icncn"
"5-6","Sportladen","Burger","Franzbrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 09:15:07","2019-05-10 09:15:07","","","0","","976","cihwf"
"5-6","Bäcker, Supermarkt","Dinokeule (Chicken Nuggets)","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Grün","MP3 (Einen Song)","2019-05-10 09:14:44","2019-05-10 09:14:44","","","0","","975","tf17i"
"5-6","Supermarkt","Pommes","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 09:14:41","2019-05-10 09:14:41","","","0","","974","huu9t"
"5-6","Fast Food-Restaurant, Bäcker, Sportladen, Supermarkt","Burger","Schokocroissant","Hau-den-Dino","Pfeife","Taucher-Set","Blau","MP3 (Einen Song)","2019-05-10 09:14:07","2019-05-10 09:14:07","","","0","","973","9zyck"
"5-6","Fast Food-Restaurant, Sportladen, Webshop","Burger","Käsebrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 09:08:31","2019-05-10 09:08:31","","","0","","972","uaple"
"5-6","Fast Food-Restaurant, Sportladen","Pommes","Franzbrötchen","Heißer Draht in Dino-Form","Pfeife","Taucher-Set","Gelb","MP3 (Einen Song)","2019-05-09 09:37:02","2019-05-09 09:37:02","","","0","","727","qmrrh"
"5-6","Sportladen","Pommes","Schokocroissant","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-09 09:36:54","2019-05-09 09:36:54","","","0","","726","z8zlf"
"5-6","Sportladen","Pommes","Franzbrötchen","Hau-den-Dino","Pfeife","Taucher-Set","Blau","MP3 (Einen Song)","2019-05-09 09:36:42","2019-05-09 09:36:42","","","0","","725","ay0qh"
"5-6","Fast Food-Restaurant","Pommes","Schokocroissant","Hau-den-Dino","Pfeife","Taucher-Set","Grün","MP3 (Einen Song)","2019-05-09 09:36:27","2019-05-09 09:36:27","","","0","","724","qq42z"
"5-6","Sportladen","Currywurst","Käsebrötchen","Heißer Draht in Dino-Form","Pfeife","Trainingskleidung-Set (Laufsachen)","Gelb","MP3 (Einen Song)","2019-05-09 09:36:22","2019-05-09 09:36:22","","","0","","723","kzyyn"
"5-6","Sportladen","Pommes","Salamibrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Schwarz","MP3 (Einen Song)","2019-05-09 09:36:17","2019-05-09 09:36:17","","","0","","722","t34md"
"5-6","Sportladen","Burger","Franzbrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Gelb","MP3 (Einen Song)","2019-05-09 09:36:10","2019-05-09 09:36:10","","","0","","721","hsrar"
"5-6","Sportladen","Burger","Franzbrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Rot","MP3 (Einen Song)","2019-05-09 09:36:06","2019-05-09 09:36:06","","","0","","720","ayob4"
"5-6","Fast Food-Restaurant, Kasino, Sportladen, Webshop","Burger","Schokocroissant","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-09 09:35:44","2019-05-09 09:35:44","","","0","","719","iijpg"
"5-6","Fast Food-Restaurant, Bäcker, Sportladen, Supermarkt","Burger","Schokocroissant","Hau-den-Dino","Pfeife","Taucher-Set","Grün","MP3 (Einen Song)","2019-05-09 09:35:03","2019-05-09 09:35:03","","","0","","718","8t8l5"
"5-6","Fast Food-Restaurant, Bäcker, Supermarkt","Burger","Schokocroissant","Heißer Draht in Dino-Form","Pfeife","Trainingskleidung-Set (Laufsachen)","Rot","MP3 (Einen Song)","2019-05-09 09:20:21","2019-05-09 09:20:21","","","0","","717","nswgz"
"5-6","Supermarkt","Burger","Käsebrötchen","Hau-den-Dino","Pfeife","Taucher-Set","Rot","MP3 (Einen Song)","2019-05-09 09:19:08","2019-05-09 09:19:08","","","0","","716","5mts8"
"5-6","Sportladen","Currywurst","Franzbrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Blau","MP3 (Einen Song)","2019-05-09 09:18:30","2019-05-09 09:18:30","","","0","","715","i6let"
"5-6","Bäcker","Veganer Salat","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Rot","MP3 (Einen Song)","2019-05-09 09:18:08","2019-05-09 09:18:08","","","0","","714","z198t"
"5-6","Bäcker, Supermarkt","Pommes","Schokocroissant","Heißer Draht in Dino-Form","Dinochips (Einkaufswagen)","Taucher-Set","Blau","MP3 (Einen Song)","2019-05-09 09:17:05","2019-05-09 09:17:05","","","0","","713","l5cct"
"5-6","Bäcker, Sportladen, Supermarkt","Dinokeule (Chicken Nuggets)","Salamibrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-09 09:16:56","2019-05-09 09:16:56","","","0","","712","bnf6c"
"5-6","Bäcker","Burger","Käsebrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-09 08:58:23","2019-05-09 08:58:23","","","0","","670","xuflo"
"5-6","Supermarkt","Pommes","Käsebrötchen","Hau-den-Dino","Pfeife","Taucher-Set","Grün","MP3 (Einen Song)","2019-05-09 08:58:26","2019-05-09 08:58:26","","","0","","671","81qqb"
"5-6","Fast Food-Restaurant, Bäcker, Sportladen, Supermarkt","Burger","Schokocroissant","Heißer Draht in Dino-Form","Pfeife","Trainingskleidung-Set (Laufsachen)","Rot","PNG (Ein Bild)","2019-05-09 08:58:35","2019-05-09 08:58:35","","","0","","672","ystko"
"5-6","Sportladen","Dinokeule (Chicken Nuggets)","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Blau","MP3 (Einen Song)","2019-05-09 08:58:46","2019-05-09 08:58:46","","","0","","673","5m5tm"
"5-6","Fast Food-Restaurant, Kasino","Currywurst","Franzbrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Schwarz","MP3 (Einen Song)","2019-05-09 08:59:03","2019-05-09 08:59:03","","","0","","674","36sju"
"5-6","Supermarkt","Burger","Franzbrötchen","Heißer Draht in Dino-Form","Dinochips (Einkaufswagen)","Taucher-Set","Violett","MP3 (Einen Song)","2019-05-09 08:59:12","2019-05-09 08:59:12","","","0","","675","nttfx"
"5-6","Bäcker, Sportladen, Supermarkt, Webshop","Burger","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-09 08:59:13","2019-05-09 08:59:13","","","0","","676","g2qzu"
"5-6","Supermarkt","Burger","Salamibrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Schwarz","MP3 (Einen Song)","2019-05-09 08:59:21","2019-05-09 08:59:21","","","0","","677","m15ja"
"5-6","Fast Food-Restaurant, Bäcker, Sportladen","Burger","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-09 08:59:27","2019-05-09 08:59:27","","","0","","678","8e2gc"
"5-6","Fanartikel-Shop, Webshop","Fleischklopsbrötchen (Boulette/Frikadelle)","Franzbrötchen","Hau-den-Dino","Pfeife","Taucher-Set","Violett","MP3 (Einen Song)","2019-05-09 08:59:33","2019-05-09 08:59:33","","","0","","679","zic9j"
"5-6","Sportladen","Burger","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Violett","MP3 (Einen Song)","2019-05-09 08:59:43","2019-05-09 08:59:43","","","0","","680","6xiqs"
"5-6","Fast Food-Restaurant, Bäcker, Sportladen, Supermarkt","Burger","Schokocroissant","Heißer Draht in Dino-Form","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-09 08:59:59","2019-05-09 08:59:59","","","0","","681","xq7m"
"5-6","Bäcker, Supermarkt","Pommes","Käsebrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Grün","MP3 (Einen Song)","2019-05-09 09:00:07","2019-05-09 09:00:07","","","0","","682","yxu5h"
"5-6","Fast Food-Restaurant, Sportladen","Dinokeule (Chicken Nuggets)","Salamibrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Grün","MP3 (Einen Song)","2019-05-09 09:00:12","2019-05-09 09:00:12","","","0","","683","5xhd8"
"5-6","Supermarkt","Burger","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Violett","PNG (Ein Bild)","2019-05-09 09:00:16","2019-05-09 09:00:16","","","0","","684","wmbq7"
"5-6","Bäcker, Sportladen, Supermarkt, Webshop","Burger","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Violett","MP3 (Einen Song)","2019-05-09 09:00:42","2019-05-09 09:00:42","","","0","","685","l5drb"
"5-6","Bäcker","Dinokeule (Chicken Nuggets)","Schokocroissant","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Gelb","MP3 (Einen Song)","2019-05-09 09:00:50","2019-05-09 09:00:50","","","0","","686","1aur3"
"5-6","Supermarkt","Burger","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Rot","MP3 (Einen Song)","2019-05-09 09:00:57","2019-05-09 09:00:57","","","0","","687","2d4ag"
"5-6","Sportladen, Supermarkt, Webshop","Burger","Schokocroissant","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-09 09:01:05","2019-05-09 09:01:05","","","0","","688","k12bg"
"5-6","Supermarkt","Fleischklopsbrötchen (Boulette/Frikadelle)","Salamibrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Grün","MP3 (Einen Song)","2019-05-09 09:01:28","2019-05-09 09:01:28","","","0","","689","zdfce"
"5-6","Fast Food-Restaurant, Bäcker, Fanartikel-Shop, Sportladen, Supermarkt, Webshop","Pommes","Salamibrötchen","Heißer Draht in Dino-Form","Pfeife","Trainingskleidung-Set (Laufsachen)","Gelb","PNG (Ein Bild)","2019-05-09 09:03:31","2019-05-09 09:03:31","","","0","","690","f0kf7"
"5-6","Bäcker, Sportladen, Supermarkt","Pommes","Salamibrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Violett","MP3 (Einen Song)","2019-05-09 09:13:34","2019-05-09 09:13:34","","","0","","691","vzoro"
"5-6","Webshop","Dinokeule (Chicken Nuggets)","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Blau","MP3 (Einen Song)","2019-05-09 09:13:43","2019-05-09 09:13:43","","","0","","692","67hfm"
"5-6","Supermarkt","Currywurst","Franzbrötchen","Heißer Draht in Dino-Form","Pfeife","Trainingskleidung-Set (Laufsachen)","Gelb","MP3 (Einen Song)","2019-05-09 09:13:43","2019-05-09 09:13:43","","","0","","693","ca44g"
"5-6","Bäcker, Sportladen, Supermarkt","Burger","Franzbrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-09 09:13:45","2019-05-09 09:13:45","","","0","","694","rvay7"
"5-6","Fast Food-Restaurant","Burger","Franzbrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Blau","MP3 (Einen Song)","2019-05-09 09:13:55","2019-05-09 09:13:55","","","0","","695","aodvw"
"5-6","Fast Food-Restaurant, Fanartikel-Shop, Supermarkt","Burger","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-09 09:13:57","2019-05-09 09:13:57","","","0","","696","t645y"
"5-6","Bäcker, Supermarkt","Pommes","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Violett","MP3 (Einen Song)","2019-05-09 09:14:07","2019-05-09 09:14:07","","","0","","697","hu4xu"
"5-6","Webshop","Burger","Käsebrötchen","Hau-den-Dino","Pfeife","Taucher-Set","Grün","MP3 (Einen Song)","2019-05-09 09:14:28","2019-05-09 09:14:28","","","0","","698","vowzg"
"5-6","Fast Food-Restaurant","Burger","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Grün","MP3 (Einen Song)","2019-05-09 09:14:43","2019-05-09 09:14:43","","","0","","699","g9gpd"
